1	Goroka Airport	Goroka	Papua New Guinea	GKA	AYGA	10
2	Madang Airport	Madang	Papua New Guinea	MAG	AYMD	10
3	Mount Hagen Kagamuga Airport	Mount Hagen	Papua New Guinea	HGU	AYMH	10
4	Nadzab Airport	Nadzab	Papua New Guinea	LAE	AYNZ	10
5	Port Moresby Jacksons International Airport	Port Moresby	Papua New Guinea	POM	AYPY	10
6	Wewak International Airport	Wewak	Papua New Guinea	WWK	AYWK	10
7	Narsarsuaq Airport	Narssarssuaq	Greenland	UAK	BGBW	-3
8	Godthaab / Nuuk Airport	Godthaab	Greenland	GOH	BGGH	-3
9	Kangerlussuaq Airport	Sondrestrom	Greenland	SFJ	BGSF	-3
10	Thule Air Base	Thule	Greenland	THU	BGTL	-4
11	Akureyri Airport	Akureyri	Iceland	AEY	BIAR	0
18	Reykjavik Airport	Reykjavik	Iceland	RKV	BIRK	0
20	Vestmannaeyjar Airport	Vestmannaeyjar	Iceland	VEY	BIVM	0
22	Winnipeg / St. Andrews Airport	Winnipeg	Canada	YAV	CYAV	-6
23	Halifax / CFB Shearwater Heliport	Halifax	Canada	YAW	CYAW	-4
24	St. Anthony Airport	St. Anthony	Canada	YAY	CYAY	-3.5
25	Tofino / Long Beach Airport	Tofino	Canada	YAZ	CYAZ	-8
26	Kugaaruk Airport	Pelly Bay	Canada	YBB	CYBB	-7
27	Baie Comeau Airport	Baie Comeau	Canada	YBC	CYBC	-5
28	CFB Bagotville	Bagotville	Canada	YBG	CYBG	-5
29	Baker Lake Airport	Baker Lake	Canada	YBK	CYBK	-6
30	Campbell River Airport	Campbell River	Canada	YBL	CYBL	-8
31	Brandon Municipal Airport	Brandon	Canada	YBR	CYBR	-6
32	Cambridge Bay Airport	Cambridge Bay	Canada	YCB	CYCB	-7
33	Nanaimo Airport	Nanaimo	Canada	YCD	CYCD	-8
34	Castlegar/West Kootenay Regional Airport	Castlegar	Canada	YCG	CYCG	-8
35	Miramichi Airport	Chatham	Canada	YCH	CYCH	-4
36	Charlo Airport	Charlo	Canada	YCL	CYCL	-4
37	Kugluktuk Airport	Coppermine	Canada	YCO	CYCO	-7
38	Coronation Airport	Coronation	Canada	YCT	CYCT	-7
39	Chilliwack Airport	Chilliwack	Canada	YCW	CYCW	-8
40	Clyde River Airport	Clyde River	Canada	YCY	CYCY	-5
41	Coral Harbour Airport	Coral Harbour	Canada	YZS	CYZS	-5
42	Dawson City Airport	Dawson	Canada	YDA	CYDA	-8
43	Burwash Airport	Burwash	Canada	YDB	CYDB	-8
44	Princeton Airport	Princeton	Canada	YDC	CYDC	-8
45	Deer Lake Airport	Deer Lake	Canada	YDF	CYDF	-3.5
46	Dease Lake Airport	Dease Lake	Canada	YDL	CYDL	-8
47	Dauphin Barker Airport	Dauphin	Canada	YDN	CYDN	-6
48	Dawson Creek Airport	Dawson Creek	Canada	YDQ	CYDQ	-7
49	Edmonton International Airport	Edmonton	Canada	YEG	CYEG	-7
50	Arviat Airport	Eskimo Point	Canada	YEK	CYEK	-6
51	Estevan Airport	Estevan	Canada	YEN	CYEN	-6
52	Edson Airport	Edson	Canada	YET	CYET	-7
53	Eureka Airport	Eureka	Canada	YEU	CYEU	-6
54	Inuvik Mike Zubko Airport	Inuvik	Canada	YEV	CYEV	-7
55	Iqaluit Airport	Iqaluit	Canada	YFB	CYFB	-5
56	Fredericton Airport	Fredericton	Canada	YFC	CYFC	-4
58	Flin Flon Airport	Flin Flon	Canada	YFO	CYFO	-6
59	Fort Resolution Airport	Fort Resolution	Canada	YFR	CYFR	-7
60	Fort Simpson Airport	Fort Simpson	Canada	YFS	CYFS	-7
61	Kingston Norman Rogers Airport	Kingston	Canada	YGK	CYGK	-5
64	Geraldton Greenstone Regional Airport	Geraldton	Canada	YGQ	CYGQ	-5
66	Hudson Bay Airport	Hudson Bay	Canada	YHB	CYHB	-6
67	Dryden Regional Airport	Dryden	Canada	YHD	CYHD	-6
68	Ulukhaktok Holman Airport	Holman Island	Canada	YHI	CYHI	-7
69	Gjoa Haven Airport	Gjoa Haven	Canada	YHK	CYHK	-7
70	John C. Munro Hamilton International Airport	Hamilton	Canada	YHM	CYHM	-5
72	Hay River / Merlyn Carter Airport	Hay River	Canada	YHY	CYHY	-7
73	Halifax / Stanfield International Airport	Halifax	Canada	YHZ	CYHZ	-4
74	Atikokan Municipal Airport	Atikokan	Canada	YIB	CYIB	-5
75	Pond Inlet Airport	Pond Inlet	Canada	YIO	CYIO	-5
76	St Jean Airport	St. Jean	Canada	YJN	CYJN	-5
77	Stephenville Airport	Stephenville	Canada	YJT	CYJT	-3.5
78	Kamloops Airport	Kamloops	Canada	YKA	CYKA	-8
79	Waterloo Airport	Waterloo	Canada	YKF	CYKF	-5
80	Schefferville Airport	Schefferville	Canada	YKL	CYKL	-5
81	Kindersley Airport	Kindersley	Canada	YKY	CYKY	-6
82	Buttonville Municipal Airport	Toronto	Canada	YKZ	CYKZ	-5
83	Chapleau Airport	Chapleau	Canada	YLD	CYLD	-5
84	Meadow Lake Airport	Meadow Lake	Canada	YLJ	CYLJ	-6
85	Lloydminster Airport	Lloydminster	Canada	YLL	CYLL	-7
86	Alert Airport	Alert	Canada	YLT	CYLT	-5
87	Kelowna International Airport	Kelowna	Canada	YLW	CYLW	-8
88	Mayo Airport	Mayo	Canada	YMA	CYMA	-8
89	Moose Jaw Air Vice Marshal C. M. McEwen Airport	Moose Jaw	Canada	YMJ	CYMJ	-6
90	Fort McMurray Airport	Fort Mcmurray	Canada	YMM	CYMM	-7
91	Moosonee Airport	Moosonee	Canada	YMO	CYMO	-5
92	Maniwaki Airport	Maniwaki	Canada	YMW	CYMW	-5
93	Montreal International (Mirabel) Airport	Montreal	Canada	YMX	CYMX	-5
94	Natashquan Airport	Natashquan	Canada	YNA	CYNA	-5
95	Ottawa / Gatineau Airport	Gatineau	Canada	YND	CYND	-5
96	Matagami Airport	Matagami	Canada	YNM	CYNM	-5
97	Old Crow Airport	Old Crow	Canada	YOC	CYOC	-8
98	CFB Cold Lake	Cold Lake	Canada	YOD	CYOD	-7
99	High Level Airport	High Level	Canada	YOJ	CYOJ	-7
100	Ottawa Macdonald-Cartier International Airport	Ottawa	Canada	YOW	CYOW	-5
101	Prince Albert Glass Field	Prince Albert	Canada	YPA	CYPA	-6
102	Peace River Airport	Peace River	Canada	YPE	CYPE	-7
103	Southport Airport	Portage-la-prairie	Canada	YPG	CYPG	-6
105	Pickle Lake Airport	Pickle Lake	Canada	YPL	CYPL	-5
106	Port Menier Airport	Port Menier	Canada	YPN	CYPN	-5
107	Peterborough Airport	Peterborough	Canada	YPQ	CYPQ	-5
108	Prince Rupert Airport	Prince Pupert	Canada	YPR	CYPR	-8
109	Fort Chipewyan Airport	Fort Chipewyan	Canada	YPY	CYPY	-7
110	Muskoka Airport	Muskoka	Canada	YQA	CYQA	-5
111	Quebec Jean Lesage International Airport	Quebec	Canada	YQB	CYQB	-5
112	Red Deer Regional Airport	Red Deer Industrial	Canada	YQF	CYQF	-7
